State,programainicio,execucaoinicio,fimexecucao,fimprograma,definainstrucao,identificador,como,inicio,fim,repita,numero,vezes,fimrepita,enquanto,faca,fimpara,se,entao,fimse,senao,fimsenao,mova,passos,vire,para,esquerda,direita,pare,finalize,apague,lampada,acenda,aguarde,ate,robo,pronto,ocupado,parado,movimentando,frente,bloqueada,acesa,a,apagada,$,Programa,Declaracoes,Declaracao,Bloco,Comandos,Comando,Iteracao,Laco,Condicional,Numeros,Instrucao,Condicao
0,s1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, ,r2, , ,s4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3, , , , , , , , , 
2, ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, ,r2, , ,s4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,3, , , , , , , , , 
4, , , , , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , ,s20, ,s14, ,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9, ,8,10,11,12, ,13, 
6, ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , ,s26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, ,r7,r7, ,r7,r7, ,r7,r7,r7, , ,r7,r7, ,r7,r7, ,r7, ,r7,r7, ,r7, , , ,r7,r7,r7, ,r7,r7, , , , , , , , , , , , , , , , , , , , , , , , 
10, ,r8,r8, ,r8,r8, ,r8,r8,r8, , ,r8,r8, ,r8,r8, ,r8, ,r8,r8, ,r8, , , ,r8,r8,r8, ,r8,r8, , , , , , , , , , , , , , , , , , , , , , , , 
11, ,r9,r9, ,r9,r9, ,r9,r9,r9, , ,r9,r9, ,r9,r9, ,r9, ,r9,r9, ,r9, , , ,r9,r9,r9, ,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , 
12, ,r10,r10, ,r10,r10, ,r10,r10,r10, , ,r10,r10, ,r10,r10, ,r10, ,r10,r10, ,r10, , , ,r10,r10,r10, ,r10,r10, , , , , , , , , , , , , , , , , , , , , , , , 
13, ,r11,r11, ,r11,r11, ,r11,r11,r11, , ,r11,r11, ,r11,r11, ,r11, ,r11,r11, ,r11, , , ,r11,r11,r11, ,r11,r11, , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , ,s20, ,s14,r6,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9,28,29,10,11,12, ,13, 
15, , , , , , , , , , ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , , , , , , , , , , , , , , , , , , , , , , , ,s34,s35, , , ,s36, , , ,s32, , , , ,s33, , , , , , , , , , , , , , , , ,31
17, , , , , , , , , , , , , , , , , , , , , , , , , ,s34,s35, , , ,s36, , , ,s32, , , , ,s33, , , , , , , , , , , , , , , , ,37
18, ,r17,r17, ,r17,r17, ,r17,r17,r17,s39, ,r17,r17, ,r17,r17, ,r17, ,r17,r17,r17,r17, , , ,r17,r17,r17, ,r17,r17, , , , , , , , , , , , , , , , , , , , , ,38, , 
19, , , , , , , , , , , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, ,r22,r22, ,r22,r22, ,r22,r22,r22, , ,r22,r22, ,r22,r22, ,r22, ,r22,r22, ,r22, , , ,r22,r22,r22, ,r22,r22, , , , , , , , , , , , , , , , , , , , , , , , 
21, ,r23,r23, ,r23,r23, ,r23,r23,r23, , ,r23,r23, ,r23,r23, ,r23, ,r23,r23, ,r23, , , ,r23,r23,r23, ,r23,r23, , , , , , , , , , , , , , , , , , , , , , , , 
22, ,r24,r24, ,r24,r24, ,r24,r24,r24, , ,r24,r24, ,r24,r24, ,r24, ,r24,r24, ,r24, , , ,r24,r24,r24, ,r24,r24, , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s41, , , , , , , , , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s42, , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s43, , , , , , , , , , , , , , , , , , , , , , , 
26, , , , , ,s20, ,s14, ,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9, ,44,10,11,12, ,13, 
27, , , ,s45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , , , , , , ,s46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , , , , ,s20, ,s14,r6,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9,47,29,10,11,12, ,13, 
30, , , , , , , , , , , ,s48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31, , , , , , , , , , , , , , ,s49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s50,s51,s52,s53, , , , , , , , , , , , , , , , , , 
